ismainentityoldpayeebankind,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v2,ki_firsttransactionbymainentity_offlineretail_externalinternationaltransfer_v1,ki_unusualnoemailnotification_offlineretail_externalinternationaltransfer_v1,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v2,ki_lowtotalamount_offlineretail_externalinternationaltransfer_v1,accountstatus,ki_suspiciousamountunttlamt_offlineretail_externalinternationaltransfer_v1,finding,payeeroutingtype,requestedamountnormalizedcurrency,ki_recentnamechange_offlineretail_externalinternationaltransfer_v1,ki_recentaddresschange_offlineretail_externalinternationaltransfer_v1,ki_recentemailchange_offlineretail_externalinternationaltransfer_v1,trxaccounttype,phasebmodeltrxscore,cs44,requestedamountasentered,actimizedayssinceaccounthaddebitandcreditonsameday,ki_activitywithsimilaramounts_offlineretail_externalinternationaltransfer_v1,model_offlineretail_externalinternationaltransfer_score,partycountrycd,ispayeehf
1,,194,76,,24500,15,,1,ABA,24500,,1137,146,DDA,-25,FWT,24500,138,,-25,US,1
0,,0,981,,1499,99,,1,ABA,1499,,3230,4468,DDA,130,FWT,1499,9,,30,US,1
0,,0,,,48000,99,,1,BIC,48000,60,60,60,DDA,65,FWT,48000,49,,65,US,1
0,,1784,435,,10000,4,,1,ABA,10000,3347,56,2219,DDA,130,FWT,10000,10,,30,US,1
1,,64,,,6250,3,,1,ABA,6250,186,103,185,,55,FWT,6250,29,,-45,US,1
0,,0,,,15000,1,,1,ABA,15000,108,103,98,DDA,45,FWT,15000,45,,45,US,1
0,,6,,,35000,4,,1,SWT,35000,2849,942,2843,DDA,60,FWT,35000,710,,60,us,1
0,,6,141,,20000,4,,1,ABA,20000,2712,134,2613,DDA,55,FWT,20000,6,,55,US,1
0,,0,,,5020,99,,1,BIC,5020,132,94,131,DDA,55,FWT,5020,,,55,ET,1
0,,168,74,,6500,15,,1,ABA,6500,,1111,120,FX,195,FWT,6500,112,,195,CA,1
0,,0,93,,63000,1,,1,ABA,63000,,731,2132,DDA,55,FWT,63000,6,,55,US,1
0,,0,355,,3300,1,,1,BIC,3300,2252,1224,2239,FX,40,FWT,3300,94,,40,us,1
0,,177,74,,18500,99,,1,ABA,18500,,1119,128,FX,5,FWT,18500,121,,5,US,1
0,,0,178,,49400,15,,1,BIC,49400,2981,154,450,,70,FWT,49400,3,,70,US,1
0,,0,90,,31220,3,,1,SWT,31220,,8222,53,DDA,70,FWT,31220,154,,70,US,1
0,,30,95,,6300,99,,1,BIC,6300,2300,1550,2229,DDA,43,FWT,6300,8,,43,CA,1
0,,0,,,8000,99,,1,ABA,8000,98,87,60,FX,40,FWT,8000,0,,40,US,1
0,,0,,,22000,4,,1,ABA,22000,67,57,67,FX,45,FWT,22000,,,45,US,1
0,,7,89,,9000,99,,1,SWT,9000,1979,758,1527,DDA,65,FWT,9000,1,,55,CA,1
0,,0,300,,77088.48,1,,1,SWT,77088.48,4046,2049,1078,FX,150,FWT,77088.48,113,,150,US,1
0,,0,249,,38000,1,,1,SWT,38000,,8518,5031,DDA,70,FWT,38000,13,,70,IL,1
0,,84,340,,18000,99,,1,ABA,18000,1676,642,1676,DDA,35,FWT,18000,15,,35,US,1
0,,0,32,,110000,4,,1,BIC,110000,2308,2293,2298,DDA,85,FWT,110000,11,,85,US,1
0,,0,,,4000,99,,1,BIC,4000,62,62,62,DDA,50,FWT,4000,,,50,CA,1
0,,30,166,,4250,3,,1,SWT,4250,,6612,874,DDA,20,FWT,4250,18,,20,,1
0,,0,98,,15000,1,,1,BIC,15000,,2952,5266,FX,70,FWT,15000,132,,70,US,1
0,,0,,,27003,4,,1,ABA,27003,1812,1746,1041,DDA,60,FWT,27003,222,,60,VE,1
0,,675,117,,25000,4,,1,SWT,25000,5883,6254,5579,FX,110,FWT,25000,2,,110,US,1
0,,0,99,,14500,3,,1,SWT,14500,2439,2424,264,FX,70,FWT,14500,36,,70,US,1
1,,109,187,,6000,4,,1,SWT,6000,,6691,954,DDA,-35,FWT,6000,5,,-35,US,1
0,,139,89,,16000,15,,1,SWT,16000,,2144,1104,DDA,145,FWT,16000,,,45,US,1
1,,226,15,,239000,4,,1,BIC,109000,304,2,303,DDA,-25,FWT,109000,226,,-25,US,1
0,,484,,,10000,99,,1,SWT,10000,6419,8024,1941,FX,58,FWT,10000,,,58,IL,1
0,,554,128,,21000,1,,1,SWT,21000,,1255,2461,DDA,165,FWT,21000,0,,55,US,1
0,,0,533,,1000,4,,1,ABA,1000,5639,2984,5190,FX,5,FWT,1000,1,,5,VE,1
0,,0,,,300000,99,,1,ABA,300000,74,74,73,DDA,45,FWT,300000,,,45,US,1
0,,1031,176,,41025.18,3,,1,BIC,41025.18,5998,655,2508,DDA,48,SWF,51020,6,,48,US,1
0,,14,162,,5120,1,,1,BIC,5120,,6595,858,DDA,70,FWT,5120,1,,70,US,1
0,,2,,,320000,15,,1,SWT,150000,2845,938,2839,DDA,80,FWT,150000,706,,80,US,1
0,,0,276,,25000,4,,1,ABA,25000,2299,2284,,DDA,55,FWT,25000,18,,55,US,1
0,,0,155,,39600,4,,1,SWT,39600,,5321,4513,FX,85,FWT,39600,7,,85,us,1
0,,0,,,9000,99,,1,ABA,9000,107,107,107,DDA,150,FWT,9000,5,,40,US,1
0,,0,322,,5000,99,,1,SWT,5000,2213,2123,2212,DDA,45,FWT,5000,0,,45,us,1
0,,75,12,,44850,15,,1,BIC,44850,156,80,146,FX,35,FWT,44850,130,,35,US,1
0,,2,,,255020,4,,1,SWT,170000,2844,937,2838,DDA,80,FWT,170000,705,,80,US,1
0,,0,84,,190000,15,,1,ABA,190000,,6395,812,DDA,70,FWT,190000,221,,70,us,1
0,,0,281,,45000,3,,1,SWT,45000,,3074,3326,DDA,88,FWT,45000,34,,88,DE,1
0,,4,,,12000,99,,1,SWT,12000,255,45,6,DDA,40,FWT,12000,,,40,CA,1
0,,0,,,9955,15,,1,SWT,9955,1782,593,1782,DDA,120,FWT,9955,368,,120,US,1
0,,0,70,,9300,4,,1,BIC,9300,,269,1932,DDA,85,FWT,9300,7,,85,us,1
0,,322,12,,20000,99,,1,ABA,20000,427,415,427,DDA,20,FWT,20000,25,,20,US,1
0,,3,33,,950,15,,1,BIC,950,5632,5560,1053,FX,50,FWT,950,61,,50,US,1
0,,1972,20,,34000,15,,1,SWT,34000,2384,2369,2291,DDA,50,FWT,34000,19,,50,US,1
0,,80,,,50000,3,,1,BIC,50000,230,19,229,FX,40,FWT,50000,219,,40,us,1
0,,0,29,,4350,4,,1,ABA,4350,,5,32,FX,60,FWT,4350,8,,60,ca,1
0,,0,33,,950,1,,1,ABA,950,5628,5556,1049,FX,50,FWT,950,57,,50,US,1
0,,4,931,,50000,1,,1,ABA,50000,,3305,990,DDA,350,FWT,50000,10,,250,ET,1
0,,3,,,5300,99,,1,SWT,5300,690,16,3,FX,80,FWT,5300,,,80,ET,1
0,,27,,,18000,15,,1,ABA,18000,124,85,123,,40,FWT,18000,,,40,US,1
0,,0,164,,4067.52,4,,1,SWT,4067.52,2357,266,1316,FX,135,SWF,3200,17,,135,,1
0,,0,302,,250,1,,1,SWT,250,2357,2342,1836,DDA,58,FWT,250,29,,58,US,1
0,,6,552,,5311.49,99,,1,SWT,5311.49,3291,569,3291,DDA,10,FWT,5311.49,1,,10,,1
0,,421,307,,20000,99,,1,ABA,20000,2512,2497,2194,DDA,35,FWT,20000,210,,35,US,1
0,,206,111,,46000,99,,1,SWT,46000,2540,2525,2479,FX,60,FWT,46000,4,,60,US,1
0,,0,612,,13000,99,,1,ABA,13000,2540,2525,2539,FX,50,FWT,13000,16,,50,US,1
0,,9,,,60020,4,,1,SWT,60020,2852,945,2846,,75,FWT,60020,713,,75,US,1
0,,0,,,1000,3,,1,ABA,1000,880,836,9,DDA,50,FWT,1000,,,50,CA,1
0,,0,,,25000,3,,1,SWT,25000,3981,2,64,DDA,85,FWT,25000,,,85,US,1
0,,1,205,,149928,99,,1,SWT,99998,,3895,5006,DDA,65,FWT,99998,1,,65,ET,1
0,,0,68,,7200,3,,1,ABA,7200,4053,242,98,FX,160,FWT,7200,92,,60,,1
0,,611,174,,60000,99,,1,ABA,60000,2200,1061,1020,DDA,0,FWT,60000,63,,0,US,1
0,,1,107,,1500,3,,1,ABA,1500,,2857,1056,FX,35,FWT,1500,3,,35,IL,1
0,,608,531,,100650,1,,1,SWT,100650,,8203,5005,DDA,130,FWT,100650,0,,30,ca,1
1,86620.29,843,107,,90070.29,1,,1,SWT,86620.29,496,1376,496,DDA,-5,FWT,86620.29,1,1000,-15,US,1
0,,0,,,1450,4,,1,ABA,1450,2037,1997,438,DDA,40,FWT,1450,,,40,CA,1
0,,0,17,,15440,99,,1,SWT,15440,1275,1249,1268,DDA,150,FWT,15440,21,,150,US,1
1,,41,107,,25000,4,,1,SWT,25000,,8767,8438,,-25,FWT,25000,16,,-25,US,1
0,,0,107,,2500,1,,1,BIC,2500,,2855,1054,DDA,75,FWT,2500,1,,75,US,1
0,,0,,,4000,99,,1,SWT,4000,785,758,8,DDA,115,FWT,4000,0,,105,US,1
0,,82,,,45020,15,,1,BIC,45020,233,22,232,DDA,55,FWT,45020,221,,55,US,1
0,,0,,,22500.8,15,,1,ABA,22500.8,2918,1541,,DDA,40,FWT,22500.8,,,40,US,1
0,,1,205,,99680,3,,1,ABA,49930,,3894,5005,DDA,50,FWT,49930,1,,50,US,1
0,,0,,,11119.25,4,,1,ABA,11119.25,5695,3894,478,FX,90,FWT,11119.25,60,,90,US,1
0,,98,,,42500,4,,1,ABA,42500,2630,652,2629,DDA,25,FWT,42500,2,,25,US,1
0,,0,412,,2000,99,,1,SWT,2000,,5678,2846,DDA,35,FWT,2000,27,,35,US,1
0,,64,,,19000,99,,1,ABA,19000,,3693,3865,DDA,50,FWT,19000,11,,40,us,1
0,,10,30,,50000,15,,1,BIC,50000,895,610,670,DDA,135,FWT,50000,10,,135,US,1
1,,179,100,,50000,1,,1,BIC,50000,,1661,420,FX,-15,FWT,50000,12,,-25,us,1
0,,795,256,,5000,4,,1,SWT,5000,995,975,994,DDA,25,FWT,5000,133,,25,ca,1
0,,5,125,,35000,1,,1,SWT,35000,,4335,3002,DDA,55,FWT,35000,6,,55,US,1
0,,0,,,2750,3,,1,SWT,2750,91,39,90,DDA,125,FWT,2750,77,,125,US,1
0,,0,,,10775,1,,1,SWT,10775,188,186,187,DDA,60,FWT,10775,174,,60,US,1
0,,1,58,,24000,1,,1,ABA,22000,2392,102,2391,DDA,22,FWT,22000,534,,22,US,1
0,,1843,180,,29300,99,,1,SWT,29300,2372,2357,2360,,45,FWT,29300,51,,45,IL,1
0,,0,310,,98873,1,,1,SWT,98873,3004,1949,519,DDA,70,FWT,98873,23,,70,CA,1
0,,0,,,10000,99,,1,ABA,10000,272,80,271,DDA,40,FWT,10000,,,40,CA,1
0,47550,859,34,,72052.99,99,,1,ABA,24502.99,5703,10002,4039,FX,40,FWT,24502.99,79,24502.99,40,US,1
0,,0,,,19900,3,,1,ABA,19900,446,11,90,DDA,40,FWT,19900,19,,40,ca,1
